iter	Passed	Remaining
0	73	73111
1	73	36873
2	74	24755
3	75	18702
4	75	15055
5	76	12622
6	76	10886
7	77	9620
8	78	8630
9	79	7837
10	79	7175
11	80	6625
12	81	6157
13	81	5755
14	82	5403
15	82	5093
16	83	4832
17	84	4602
18	85	4392
19	85	4201
20	86	4025
21	87	3868
22	87	3721
23	88	3585
24	88	3460
25	89	3355
26	90	3254
27	90	3157
28	91	3067
29	92	2982
30	92	2901
31	93	2824
32	93	2753
33	94	2685
34	95	2624
35	95	2570
36	96	2516
37	97	2464
38	97	2413
39	98	2365
40	99	2320
41	99	2276
42	100	2233
43	101	2196
44	101	2160
45	102	2124
46	103	2089
47	103	2057
48	104	2024
49	104	1993
50	105	1963
51	106	1933
52	106	1904
53	107	1883
54	108	1861
55	109	1853
56	110	1830
57	111	1807
58	111	1785
59	112	1763
60	113	1743
61	113	1724
62	114	1706
63	115	1686
64	115	1668
65	116	1649
66	117	1631
67	117	1613
68	118	1595
69	118	1579
70	119	1565
71	120	1551
72	121	1536
73	121	1522
74	122	1508
75	122	1493
76	123	1478
77	123	1464
78	124	1451
79	125	1438
80	125	1427
81	126	1417
82	126	1403
83	127	1391
84	128	1380
85	128	1370
86	129	1358
87	130	1347
88	130	1336
89	131	1327
90	132	1319
91	132	1310
92	133	1301
93	134	1292
94	134	1283
95	135	1275
96	135	1265
97	136	1256
98	137	1247
99	137	1241
100	139	1244
101	140	1236
102	141	1228
103	141	1221
104	142	1213
105	142	1205
106	143	1197
107	144	1192
108	145	1186
109	145	1179
110	146	1172
111	147	1165
112	147	1158
113	148	1152
114	148	1145
115	149	1139
116	150	1132
117	150	1128
118	151	1124
119	152	1118
120	153	1113
121	153	1106
122	154	1100
123	154	1094
124	155	1089
125	156	1085
126	157	1079
127	157	1075
128	158	1070
129	159	1066
130	159	1061
131	160	1056
132	161	1050
133	161	1045
134	162	1041
135	163	1038
136	164	1033
137	164	1029
138	165	1024
139	166	1019
140	166	1015
141	167	1009
142	167	1004
143	168	1000
144	169	996
145	169	992
146	170	988
147	170	984
148	171	979
149	172	975
150	172	970
151	173	966
152	173	961
153	174	957
154	175	954
155	175	951
156	176	947
157	177	944
158	177	940
159	178	937
160	178	932
161	179	928
162	180	925
163	180	921
164	181	919
165	182	915
166	182	912
167	183	909
168	184	905
169	184	901
170	185	897
171	185	894
172	186	890
173	187	887
174	187	884
175	188	883
176	189	880
177	189	876
178	190	873
179	191	871
180	191	867
181	192	864
182	192	860
183	193	858
184	194	855
185	194	852
186	195	850
187	196	847
188	196	844
189	197	840
190	197	837
191	198	834
192	198	831
193	199	829
194	200	826
195	201	824
196	201	821
197	202	818
198	202	816
199	203	813
200	203	810
201	204	807
202	204	804
203	205	802
204	206	800
205	206	797
206	207	795
207	208	792
208	208	790
209	209	788
210	210	785
211	210	782
212	211	780
213	211	778
214	212	776
215	213	774
216	213	771
217	214	769
218	215	767
219	215	764
220	216	762
221	216	759
222	217	757
223	217	755
224	218	753
225	219	751
226	219	748
227	220	746
228	221	744
229	221	742
230	222	740
231	223	738
232	223	735
233	224	734
234	225	732
235	225	730
236	226	728
237	226	726
238	227	724
239	228	722
240	228	720
241	229	718
242	229	715
243	230	714
244	231	712
245	231	710
246	232	708
247	232	706
248	233	704
249	234	702
250	234	700
251	235	698
252	235	696
253	236	694
254	237	692
255	237	691
256	238	689
257	239	687
258	239	685
259	240	683
260	240	681
261	241	679
262	241	677
263	242	675
264	243	674
265	243	672
266	244	671
267	244	669
268	245	667
269	246	665
270	246	663
271	247	661
272	247	660
273	248	658
274	249	656
275	249	655
276	250	653
277	251	651
278	251	650
279	252	648
280	252	646
281	253	645
282	253	643
283	254	641
284	255	639
285	255	638
286	256	636
287	256	635
288	257	633
289	258	632
290	258	630
291	259	628
292	259	626
293	260	625
294	261	623
295	261	622
296	262	620
297	262	619
298	263	618
299	264	616
300	264	614
301	265	613
302	265	611
303	266	609
304	266	608
305	267	607
306	268	605
307	268	604
308	269	602
309	270	601
310	270	599
311	271	598
312	271	596
313	272	595
314	273	594
315	273	593
316	274	591
317	275	590
318	275	589
319	276	587
320	277	586
321	277	584
322	278	583
323	278	581
324	279	580
325	280	579
326	280	577
327	281	576
328	281	575
329	282	573
330	283	572
331	283	570
332	284	569
333	284	567
334	285	566
335	285	564
336	286	563
337	287	562
338	287	561
339	288	559
340	288	558
341	289	556
342	290	555
343	290	554
344	291	552
345	291	551
346	292	550
347	293	549
348	293	547
349	294	546
350	294	544
351	295	543
352	295	542
353	296	540
354	296	539
355	297	538
356	298	537
357	298	536
358	299	534
359	300	533
360	300	532
361	301	531
362	301	529
363	302	528
364	303	527
365	303	526
366	304	525
367	305	524
368	305	522
369	306	521
370	307	520
371	307	519
372	308	518
373	308	517
374	309	515
375	310	514
376	310	513
377	311	512
378	312	511
379	312	510
380	313	508
381	313	507
382	314	506
383	315	505
384	315	504
385	316	502
386	316	502
387	317	500
388	318	499
389	318	498
390	319	497
391	319	496
392	320	494
393	320	493
394	321	492
395	322	491
396	322	490
397	323	489
398	324	488
